uuid,type,name,field(s)
dca4b8e6-9c13-4b1d-aeef-1e3f237f9a9a,E,Monitor,199.99
b215f55a-84a7-4b67-a920-1fc157a4da7f,E,Keyboard,25.95
ff4b3209-1ac5-49ab-a84f-93b5475cf346,E,Greentooth Mouse,17.50
0a3d88d9-2b8a-441f-beb3-cbe03f77db02,E,Server Rack,650
3dff1b7f-1ed0-44b3-a763-f6d04b6e0ff1,E,Surge Protector,8.99
a123b456-c78d-90e1-f2a3-b4c5d6e7f8a9,E,Webcam 4K,89.50
b234c567-d89e-01f2-a3b4-c5d6e7f8a9b0,E,Noise Canceling Headset,125.00
c345d6e7-e9f0-12a3-b4c5-d6e7f8a9b0c1,E,USB-C Docking Station,150.75
d456e7f8-f0a1-23b4-c5d6-e7f8a9b0c1d2,E,External SSD 2TB,210.00
e567f89a-01b2-34c5-d6e7-f8a9b0c1d2e3,E,Wireless Router,79.99
864c15b2-c21f-4cb9-95de-97fd245fa473,S,Delivery,50
8ff9b933-dc7e-44b9-9864-e5e76f1c7357,S,Phone Tech Support,25
4c3cb0ec-833b-41b3-b842-54a5d27bcb9e,S,Tech Analysis,75
7c1b401b-4a6b-4d31-80a2-03798183e4f9,S,White Glove Tech Support,125.50
9eb9938f-b581-43c1-b4bc-b5fa4c6f60f7,S,Software Development,350.45
f6a7b8c9-d0e1-2f3a-4b5c-6d7e8f9a0b1c,S,Network Installation,500.00
a7b8c9d0-e1f2-3a4b-5c6d-7e8f9a0b1c2d,S,Database Optimization,275.00
b8c9d0e1-f2a3-4b5c-6d7e-8f9a0b1c2d3e,S,On-site Consultation,150.00
c9d0e1f2-a3b4-5c6d-7e8f-9a0b1c2d3e4f,S,Security Audit,1200.00
d0e1f2a3-b4c5-6d7e-8f9a-0b1c2d3e4f5a,S,Emergency Repair,200.50
2b727fbc-257d-4ef1-a9d0-f3e09b72a59b,L,Cloud Storage,50,12500
5416e75f-34d4-4974-9d19-bfdb8a5c2fc9,L,Oracle Database,0,36000.36
fa9cdbd8-c9b7-4f89-9be6-bc64b62fe6c0,L,SM367,150,600
bbf7a3e0-d4f0-47e2-bb3a-6f3ed3fd5f17,L,AI Slop Cleanup 400,500.75,120.15
b4f02d75-d29b-468d-a244-1a1e3d5d92a6,L,SM Office,25.99,1212.12
e1f2a3b4-c5d6-7e8f-9a0b-1c2d3e4f5a6b,L,Cyber Security Suite,100,2500.00
f2a3b4c5-d6e7-8f9a-0b1c-2d3e4f5a6b7c,L,Video Editing Pro,75.50,450.00
a3b4c5d6-e7f8-9a0b-1c2d-3e4f5a6b7c8d,L,Project Management Tool,10.00,120.00
b4c5d6e7-f89a-0b1c-2d3e-4f5a6b7c8d9e,L,CRM Enterprise,250.00,5000.00
c5d6e7f8-9a0b-1c2d-3e4f-5a6b7c8d9e0f,L,Backup Utility,5.00,50.00
